dimensions,rock_chance,grass_grow_back,owls_target_slow_mice,rand_catch,in_medias_res,m_number,m_die_of_hunger,m_preg_time,m_max_age,o_number,o_die_of_hunger,o_preg_time,o_max_age,rand_variance_trait,speed,ticks,sim ver,avg_speed_mouse,avg_speed_owl,non_NA_count_mice,non_NA_count_owls,repetitions,non_NA_fraction_mice,non_NA_fraction_owls,harmonic_mean
10,0,5,True,True,True,50,3,2,0,10,4,3,0,10,True,1000,1,155.5,49.0,2,2,2,1.0,1.0,1.0
10,0,5,True,True,True,50,3,2,0,10,4,4,0,10,True,1000,1,174.0,82.0,2,2,2,1.0,1.0,1.0
10,0,5,True,True,True,50,3,2,0,10,4,5,0,10,True,1000,1,216.5,61.0,2,2,2,1.0,1.0,1.0
10,0,5,True,True,True,50,3,2,0,10,5,3,0,2,True,500,1,73.0,72.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,3,2,0,10,5,3,0,3,True,500,1,98.0,84.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,3,2,0,10,5,3,0,4,True,500,1,124.0,63.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,3,2,0,10,5,3,0,6,True,500,1,109.0,58.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,3,2,0,10,5,3,0,7,True,500,1,79.0,71.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,3,2,0,10,5,3,0,10,True,500,1,83.0,65.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,3,2,0,10,5,4,0,10,True,1000,1,201.0,79.0,2,2,2,1.0,1.0,1.0
10,0,5,True,True,True,50,3,2,0,10,6,5,0,10,True,1000,1,193.0,58.5,2,2,2,1.0,1.0,1.0
10,0,5,True,True,True,50,3,2,0,10,7,5,0,10,True,1000,1,607.5,59.0,2,2,2,1.0,1.0,1.0
10,0,5,True,True,True,50,3,3,0,10,4,3,0,10,True,1000,1,166.5,92.5,2,2,2,1.0,1.0,1.0
10,0,5,True,True,True,50,3,3,0,10,5,3,0,1,True,500,1,83.0,73.0,1,1,1,1.0,1.0,1.0
