,dimensions,rock_chance,grass_grow_back,owls_target_slow_mice,rand_catch,in_medias_res,m_number,m_die_of_hunger,m_preg_time,m_max_age,o_number,o_die_of_hunger,o_preg_time,o_max_age,rand_variance_trait,speed,ticks,sim ver,avg_speed_mouse,avg_speed_owl,non_NA_count_mice,non_NA_count_owls,repetitions,non_NA_fraction_mice,non_NA_fraction_owls,harmonic_mean
747,10,0,5,True,True,True,50,7,4,0,10,5,2,0,10,True,1000,1,123.0,57.0,1,1,1,1.0,1.0,1.0
721,10,0,5,True,True,True,50,7,3,0,10,6,4,0,10,True,1000,1,278.0,69.0,1,1,1,1.0,1.0,1.0
720,10,0,5,True,True,True,50,7,3,0,10,6,3,0,10,True,1000,1,539.0,84.0,1,1,1,1.0,1.0,1.0
719,10,0,5,True,True,True,50,7,3,0,10,6,2,0,10,True,1000,1,247.0,71.0,1,1,1,1.0,1.0,1.0
718,10,0,5,True,True,True,50,7,3,0,10,5,5,0,10,True,1000,1,136.0,80.0,1,1,1,1.0,1.0,1.0
717,10,0,5,True,True,True,50,7,3,0,10,5,4,0,10,True,1000,1,163.0,100.0,1,1,1,1.0,1.0,1.0
716,10,0,5,True,True,True,50,7,3,0,10,5,3,0,10,True,1000,1,505.0,62.0,1,1,1,1.0,1.0,1.0
715,10,0,5,True,True,True,50,7,3,0,10,5,3,0,10,True,500,1,76.0,61.0,1,1,1,1.0,1.0,1.0
714,10,0,5,True,True,True,50,7,3,0,10,5,3,0,9,True,500,1,182.0,59.0,1,1,1,1.0,1.0,1.0
713,10,0,5,True,True,True,50,7,3,0,10,5,3,0,8,True,500,1,91.0,60.0,1,1,1,1.0,1.0,1.0
142,10,0,5,True,True,True,50,3,5,0,10,6,2,0,10,True,1000,1,172.0,40.0,1,1,1,1.0,1.0,1.0
711,10,0,5,True,True,True,50,7,3,0,10,5,3,0,6,True,500,1,84.0,78.0,1,1,1,1.0,1.0,1.0
144,10,0,5,True,True,True,50,3,5,0,10,6,4,0,10,True,1000,1,115.0,22.0,1,1,1,1.0,1.0,1.0
145,10,0,5,True,True,True,50,3,5,0,10,6,5,0,10,True,1000,1,127.0,66.0,1,1,1,1.0,1.0,1.0
709,10,0,5,True,True,True,50,7,3,0,10,5,3,0,4,True,500,1,79.0,51.0,1,1,1,1.0,1.0,1.0
147,10,0,5,True,True,True,50,3,5,0,10,7,3,0,10,True,1000,1,114.0,93.0,1,1,1,1.0,1.0,1.0
708,10,0,5,True,True,True,50,7,3,0,10,5,3,0,3,True,500,1,97.0,79.0,1,1,1,1.0,1.0,1.0
707,10,0,5,True,True,True,50,7,3,0,10,5,3,0,2,True,500,1,91.0,94.0,1,1,1,1.0,1.0,1.0
706,10,0,5,True,True,True,50,7,3,0,10,5,3,0,1,True,500,1,70.0,51.0,1,1,1,1.0,1.0,1.0
703,10,0,5,True,True,True,50,7,3,0,10,4,4,0,10,True,1000,1,120.0,40.0,1,1,1,1.0,1.0,1.0
702,10,0,5,True,True,True,50,7,3,0,10,4,3,0,10,True,1000,1,145.0,63.0,1,1,1,1.0,1.0,1.0
695,10,0,5,True,True,True,50,7,2,0,10,10,4,0,10,True,1000,1,161.0,62.0,1,1,1,1.0,1.0,1.0
684,10,0,5,True,True,True,50,7,2,0,10,7,5,0,10,True,1000,1,100.0,90.0,1,1,1,1.0,1.0,1.0
133,10,0,5,True,True,True,50,3,5,0,10,5,3,0,2,True,500,1,71.0,76.0,1,1,1,1.0,1.0,1.0
723,10,0,5,True,True,True,50,7,3,0,10,7,2,0,10,True,1000,1,114.0,52.0,1,1,1,1.0,1.0,1.0
680,10,0,5,True,True,True,50,7,2,0,10,6,5,0,10,True,1000,1,318.0,55.0,1,1,1,1.0,1.0,1.0
724,10,0,5,True,True,True,50,7,3,0,10,7,3,0,10,True,1000,1,109.0,51.0,1,1,1,1.0,1.0,1.0
1000,10,0,5,True,True,True,50,9,2,0,10,5,3,0,2,True,500,1,107.0,74.0,1,1,1,1.0,1.0,1.0
999,10,0,5,True,True,True,50,9,2,0,10,5,3,0,1,True,500,1,75.0,94.0,1,1,1,1.0,1.0,1.0
998,10,0,5,True,True,True,50,9,2,0,10,5,2,0,10,True,1000,1,249.0,57.0,1,1,1,1.0,1.0,1.0
997,10,0,5,True,True,True,50,9,2,0,10,4,5,0,10,True,1000,1,458.0,85.0,1,1,1,1.0,1.0,1.0
996,10,0,5,True,True,True,50,9,2,0,10,4,4,0,10,True,1000,1,398.0,93.0,1,1,1,1.0,1.0,1.0
816,10,0,5,True,True,True,50,7,5,0,10,9,3,0,10,True,1000,1,104.0,19.0,1,1,1,1.0,1.0,1.0
812,10,0,5,True,True,True,50,7,5,0,10,8,3,0,10,True,1000,1,120.0,90.0,1,1,1,1.0,1.0,1.0
797,10,0,5,True,True,True,50,7,5,0,10,5,3,0,8,True,500,1,88.0,20.0,1,1,1,1.0,1.0,1.0
796,10,0,5,True,True,True,50,7,5,0,10,5,3,0,7,True,500,1,84.0,76.0,1,1,1,1.0,1.0,1.0
779,10,0,5,True,True,True,50,7,4,0,10,10,4,0,10,True,1000,1,131.0,44.0,1,1,1,1.0,1.0,1.0
771,10,0,5,True,True,True,50,7,4,0,10,8,4,0,10,True,1000,1,271.0,66.0,1,1,1,1.0,1.0,1.0
762,10,0,5,True,True,True,50,7,4,0,10,6,3,0,10,True,1000,1,126.0,59.0,1,1,1,1.0,1.0,1.0
757,10,0,5,True,True,True,50,7,4,0,10,5,3,0,10,True,500,1,94.0,49.0,1,1,1,1.0,1.0,1.0
122,10,0,5,True,True,True,50,3,4,0,10,10,5,0,10,True,1000,1,136.0,37.0,1,1,1,1.0,1.0,1.0
754,10,0,5,True,True,True,50,7,4,0,10,5,3,0,7,True,500,1,100.0,73.0,1,1,1,1.0,1.0,1.0
753,10,0,5,True,True,True,50,7,4,0,10,5,3,0,6,True,500,1,85.0,93.0,1,1,1,1.0,1.0,1.0
751,10,0,5,True,True,True,50,7,4,0,10,5,3,0,4,True,500,1,61.0,80.0,1,1,1,1.0,1.0,1.0
748,10,0,5,True,True,True,50,7,4,0,10,5,3,0,1,True,500,1,82.0,38.0,1,1,1,1.0,1.0,1.0
730,10,0,5,True,True,True,50,7,3,0,10,8,5,0,10,True,1000,1,134.0,69.0,1,1,1,1.0,1.0,1.0
729,10,0,5,True,True,True,50,7,3,0,10,8,4,0,10,True,1000,1,163.0,79.0,1,1,1,1.0,1.0,1.0
726,10,0,5,True,True,True,50,7,3,0,10,7,5,0,10,True,1000,1,148.0,84.0,1,1,1,1.0,1.0,1.0
681,10,0,5,True,True,True,50,7,2,0,10,7,2,0,10,True,1000,1,162.0,93.0,1,1,1,1.0,1.0,1.0
679,10,0,5,True,True,True,50,7,2,0,10,6,4,0,10,True,1000,1,438.0,52.0,1,1,1,1.0,1.0,1.0
1003,10,0,5,True,True,True,50,9,2,0,10,5,3,0,5,True,500,1,82.0,73.0,1,1,1,1.0,1.0,1.0
392,10,0,5,True,True,True,50,5,3,0,10,5,5,0,10,True,1000,1,116.0,24.0,1,1,1,1.0,1.0,1.0
385,10,0,5,True,True,True,50,5,3,0,10,5,3,0,6,True,500,1,92.0,40.0,1,1,1,1.0,1.0,1.0
384,10,0,5,True,True,True,50,5,3,0,10,5,3,0,5,True,500,1,113.0,79.0,1,1,1,1.0,1.0,1.0
382,10,0,5,True,True,True,50,5,3,0,10,5,3,0,3,True,500,1,80.0,77.0,1,1,1,1.0,1.0,1.0
379,10,0,5,True,True,True,50,5,3,0,10,5,2,0,10,True,1000,1,131.0,88.0,1,1,1,1.0,1.0,1.0
378,10,0,5,True,True,True,50,5,3,0,10,4,5,0,10,True,1000,1,164.0,59.0,1,1,1,1.0,1.0,1.0
377,10,0,5,True,True,True,50,5,3,0,10,4,4,0,10,True,1000,1,170.0,44.0,1,1,1,1.0,1.0,1.0
370,10,0,5,True,True,True,50,5,2,0,10,10,5,0,10,True,1000,1,358.0,51.0,1,1,1,1.0,1.0,1.0
368,10,0,5,True,True,True,50,5,2,0,10,10,3,0,10,True,1000,1,143.0,50.0,1,1,1,1.0,1.0,1.0
331,10,0,5,True,True,True,50,5,2,0,10,3,3,0,10,True,1000,1,133.0,81.0,1,1,1,1.0,1.0,1.0
366,10,0,5,True,True,True,50,5,2,0,10,9,4,0,10,True,1000,1,148.0,67.0,1,1,1,1.0,1.0,1.0
355,10,0,5,True,True,True,50,5,2,0,10,6,5,0,10,True,1000,1,108.0,60.0,1,1,1,1.0,1.0,1.0
334,10,0,5,True,True,True,50,5,2,0,10,4,2,0,10,True,1000,1,135.0,58.0,1,1,1,1.0,1.0,1.0
335,10,0,5,True,True,True,50,5,2,0,10,4,3,0,10,True,1000,1,264.0,93.0,1,1,1,1.0,1.0,1.0
336,10,0,5,True,True,True,50,5,2,0,10,4,4,0,10,True,1000,1,268.0,80.0,1,1,1,1.0,1.0,1.0
350,10,0,5,True,True,True,50,5,2,0,10,5,4,0,10,True,1000,1,223.0,65.0,1,1,1,1.0,1.0,1.0
338,10,0,5,True,True,True,50,5,2,0,10,5,2,0,10,True,1000,1,151.0,74.0,1,1,1,1.0,1.0,1.0
339,10,0,5,True,True,True,50,5,2,0,10,5,3,0,1,True,500,1,77.0,61.0,1,1,1,1.0,1.0,1.0
349,10,0,5,True,True,True,50,5,2,0,10,5,3,0,10,True,1000,1,394.0,96.0,1,1,1,1.0,1.0,1.0
