dimensions,rock_chance,grass_grow_back,rand_catch,in_medias_res,m_number,m_die_of_hunger,m_preg_time,m_max_age,o_number,o_die_of_hunger,o_preg_time,o_max_age,rand_variance_trait,speed,ticks,avg_speed_mouse,avg_speed_owl,non_NA_count_mice,non_NA_count_owls,repetitions,NA_fraction_mice,NA_fraction_owls
20,0,5,True,True,280,3,3,0,10,14,3,0,20,True,100,66.0,78.5,2,2,2,0.0,0.0
20,0,5,True,True,280,4,2,0,10,9,4,0,20,True,100,82.5,89.0,2,2,2,0.0,0.0
20,0,5,True,True,280,4,2,0,10,9,8,0,20,True,100,76.0,74.5,2,2,2,0.0,0.0
20,0,5,True,True,280,4,2,0,10,9,10,0,20,True,100,67.5,54.5,2,2,2,0.0,0.0
20,0,5,True,True,280,4,2,0,10,10,5,0,20,True,100,68.5,85.5,2,2,2,0.0,0.0
20,0,5,True,True,280,4,2,0,10,10,6,0,20,True,100,75.5,69.0,2,2,2,0.0,0.0
20,0,5,True,True,280,4,2,0,10,10,7,0,20,True,100,74.0,81.5,2,2,2,0.0,0.0
20,0,5,True,True,280,4,2,0,10,10,8,0,20,True,100,75.5,65.5,2,2,2,0.0,0.0
20,0,5,True,True,280,4,2,0,10,10,9,0,20,True,100,83.0,86.0,2,2,2,0.0,0.0
20,0,5,True,True,280,4,2,0,10,10,10,0,20,True,100,74.5,72.0,2,2,2,0.0,0.0
20,0,5,True,True,280,4,2,0,10,11,3,0,20,True,100,71.5,72.5,2,2,2,0.0,0.0
20,0,5,True,True,280,4,2,0,10,11,5,0,20,True,100,71.0,60.5,2,2,2,0.0,0.0
20,0,5,True,True,280,4,2,0,10,11,9,0,20,True,100,78.5,71.0,2,2,2,0.0,0.0
20,0,5,True,True,280,4,2,0,10,12,4,0,20,True,100,75.5,81.0,2,2,2,0.0,0.0
20,0,5,True,True,280,4,2,0,10,12,7,0,20,True,100,76.0,73.5,2,2,2,0.0,0.0
20,0,5,True,True,280,4,2,0,10,12,8,0,20,True,100,71.5,84.0,2,2,2,0.0,0.0
20,0,5,True,True,280,4,2,0,10,12,9,0,20,True,100,73.0,65.0,2,2,2,0.0,0.0
20,0,5,True,True,280,4,2,0,10,12,10,0,20,True,100,72.5,59.5,2,2,2,0.0,0.0
20,0,5,True,True,280,4,2,0,10,13,3,0,20,True,100,63.0,67.0,2,2,2,0.0,0.0
20,0,5,True,True,280,4,2,0,10,13,5,0,20,True,100,83.5,78.0,2,2,2,0.0,0.0
20,0,5,True,True,280,4,2,0,10,13,8,0,20,True,100,67.0,77.5,2,2,2,0.0,0.0
20,0,5,True,True,280,4,2,0,10,13,9,0,20,True,100,68.0,86.0,2,2,2,0.0,0.0
20,0,5,True,True,280,4,2,0,10,14,3,0,20,True,100,74.5,73.5,2,2,2,0.0,0.0
20,0,5,True,True,280,4,2,0,10,14,4,0,20,True,100,74.0,50.0,2,2,2,0.0,0.0
20,0,5,True,True,280,4,2,0,10,14,5,0,20,True,100,67.5,71.5,2,2,2,0.0,0.0
20,0,5,True,True,280,4,2,0,10,14,6,0,20,True,100,68.5,73.0,2,2,2,0.0,0.0
20,0,5,True,True,280,4,2,0,10,14,7,0,20,True,100,80.0,70.5,2,2,2,0.0,0.0
20,0,5,True,True,280,4,2,0,10,14,8,0,20,True,100,76.5,62.0,2,2,2,0.0,0.0
20,0,5,True,True,280,4,2,0,10,14,10,0,20,True,100,74.0,78.0,2,2,2,0.0,0.0
20,0,5,True,True,280,4,2,0,10,15,3,0,20,True,100,70.0,73.5,2,2,2,0.0,0.0
20,0,5,True,True,280,4,2,0,10,15,4,0,20,True,100,76.5,59.0,2,2,2,0.0,0.0
20,0,5,True,True,280,4,2,0,10,15,5,0,20,True,100,77.0,81.5,2,2,2,0.0,0.0
20,0,5,True,True,280,4,2,0,10,15,6,0,20,True,100,62.0,61.0,2,2,2,0.0,0.0
20,0,5,True,True,280,4,2,0,10,15,7,0,20,True,100,66.0,84.0,2,2,2,0.0,0.0
20,0,5,True,True,280,4,2,0,10,15,9,0,20,True,100,65.0,52.5,2,2,2,0.0,0.0
20,0,5,True,True,280,4,2,0,10,15,10,0,20,True,100,73.5,75.0,2,2,2,0.0,0.0
20,0,5,True,True,280,4,3,0,10,9,5,0,20,True,100,77.0,80.33,5,3,5,0.0,0.4
20,0,5,True,True,280,4,3,0,10,9,6,0,20,True,100,72.2,81.33,5,3,5,0.0,0.4
20,0,5,True,True,280,4,3,0,10,10,3,0,20,True,100,60.0,88.5,2,2,2,0.0,0.0
20,0,5,True,True,280,4,3,0,10,10,6,0,20,True,100,70.8,72.75,5,4,5,0.0,0.2
20,0,5,True,True,280,4,3,0,10,11,7,0,20,True,100,76.0,95.0,2,2,2,0.0,0.0
