dimensions,rock_chance,grass_grow_back,rand_catch,in_medias_res,m_number,m_die_of_hunger,m_preg_time,m_max_age,o_number,o_die_of_hunger,o_preg_time,o_max_age,rand_variance_trait,speed,ticks,avg_speed_mouse,avg_speed_owl,non_NA_count_mice,non_NA_count_owls,repetitions,NA_fraction_mice,NA_fraction_owls
20,0,5,True,True,280,1,3,0,10,9,5,0,20,True,100,,,0,0,3,1.0,1.0
20,0,5,True,True,280,1,3,0,10,9,6,0,20,True,100,,,0,0,3,1.0,1.0
20,0,5,True,True,280,1,3,0,10,10,5,0,20,True,100,,,0,0,3,1.0,1.0
20,0,5,True,True,280,1,3,0,10,10,6,0,20,True,100,,,0,0,3,1.0,1.0
20,0,5,True,True,280,1,4,0,10,9,5,0,20,True,100,,,0,0,3,1.0,1.0
20,0,5,True,True,280,1,4,0,10,9,6,0,20,True,100,,,0,0,3,1.0,1.0
20,0,5,True,True,280,1,4,0,10,10,5,0,20,True,100,,,0,0,3,1.0,1.0
20,0,5,True,True,280,1,4,0,10,10,6,0,20,True,100,,,0,0,3,1.0,1.0
20,0,5,True,True,280,2,3,0,10,9,5,0,20,True,100,55.33,,3,0,3,0.0,1.0
20,0,5,True,True,280,2,3,0,10,9,6,0,20,True,100,55.0,,3,0,3,0.0,1.0
20,0,5,True,True,280,2,3,0,10,10,5,0,20,True,100,39.33,,3,0,3,0.0,1.0
20,0,5,True,True,280,2,3,0,10,10,6,0,20,True,100,57.0,,3,0,3,0.0,1.0
20,0,5,True,True,280,2,4,0,10,9,5,0,20,True,100,47.67,,3,0,3,0.0,1.0
20,0,5,True,True,280,2,4,0,10,9,6,0,20,True,100,41.33,,3,0,3,0.0,1.0
20,0,5,True,True,280,2,4,0,10,10,5,0,20,True,100,42.33,,3,0,3,0.0,1.0
20,0,5,True,True,280,2,4,0,10,10,6,0,20,True,100,28.33,,3,0,3,0.0,1.0
20,0,5,True,True,280,3,2,0,10,5,3,0,20,True,500,89.26,,34,0,34,0.0,1.0
20,0,5,True,True,280,3,2,0,10,5,4,0,20,True,500,86.85,,13,0,13,0.0,1.0
20,0,5,True,True,280,3,2,0,10,5,5,0,20,True,500,97.54,,13,0,13,0.0,1.0
