sim_id	report_interval	N_OWLS	N_MICE	MOUSE_PREG_TIME	tick	mice	owls
20250509151607	10	10	30	10	0	30	10
20250509151607	10	10	30	10	10	24	10
20250509151607	10	10	30	10	20	12	10
20250509151607	10	10	30	10	30	4	10
20250509151607	10	10	30	10	40	2	10
20250509151607	10	10	30	10	49	0	10
20250509151609	10	10	30	10	0	30	10
20250509151609	10	10	30	10	10	23	10
20250509151609	10	10	30	10	20	14	10
20250509151609	10	10	30	10	30	15	10
20250509151609	10	10	30	10	40	14	10
20250509151609	10	10	30	10	50	4	10
20250509151609	10	10	30	10	51	0	10
20250509151611	10	10	30	10	0	30	10
20250509151611	10	10	30	10	10	27	10
20250509151611	10	10	30	10	20	26	10
20250509151611	10	10	30	10	30	11	10
20250509151611	10	10	30	10	39	0	10
20250509151613	10	10	30	10	0	30	10
20250509151613	10	10	30	10	10	18	10
20250509151613	10	10	30	10	20	22	10
20250509151613	10	10	30	10	30	26	10
20250509151613	10	10	30	10	40	26	10
20250509151613	10	10	30	10	50	22	10
20250509151613	10	10	30	10	60	24	10
20250509151613	10	10	30	10	70	7	10
20250509151613	10	10	30	10	77	0	10
20250509151615	10	10	30	10	0	30	10
20250509151615	10	10	30	10	10	26	10
20250509151615	10	10	30	10	20	16	10
20250509151615	10	10	30	10	30	20	10
20250509151615	10	10	30	10	40	16	10
20250509151615	10	10	30	10	50	6	10
20250509151615	10	10	30	10	53	0	10
20250509151618	10	10	30	10	0	30	10
20250509151618	10	10	30	10	10	20	10
20250509151618	10	10	30	10	20	6	10
20250509151618	10	10	30	10	29	0	10
20250509151619	10	10	30	10	0	30	10
20250509151619	10	10	30	10	10	21	10
20250509151619	10	10	30	10	20	12	10
20250509151619	10	10	30	10	30	3	10
20250509151619	10	10	30	10	40	2	10
20250509151619	10	10	30	10	50	2	10
20250509151619	10	10	30	10	58	0	10
20250509151621	10	10	30	10	0	30	10
20250509151621	10	10	30	10	10	31	10
20250509151621	10	10	30	10	20	14	10
20250509151621	10	10	30	10	30	7	10
20250509151621	10	10	30	10	32	0	10
20250509151839	10	10	30	10	0	30	10
20250509151839	10	10	30	10	10	22	10
20250509151839	10	10	30	10	20	24	10
20250509151839	10	10	30	10	30	18	10
20250509151839	10	10	30	10	40	13	10
20250509151839	10	10	30	10	44	0	10
20250509151856	10	10	30	10	0	30	10
20250509151856	10	10	30	10	10	20	10
20250509151856	10	10	30	10	20	10	10
20250509151856	10	10	30	10	30	5	10
20250509151856	10	10	30	10	39	0	10
20250509151858	10	10	30	10	0	30	10
20250509151858	10	10	30	10	10	17	10
20250509151858	10	10	30	10	20	23	10
